"","fipscode","state","county","county_ranked","freq_mental_distress","unemployment","food_insecurity","suicides","alcohol_impaired_driving_deaths","mental_distress_level","unemployment_level"
"363","51630","VA","Fredericksburg city",1,14.3,7.15406562,12.5,13.71203095,37.5,"high","high"
"364","51640","VA","Galax city",1,18.8,7.74036793,17.3,38.05800504,100,"high","high"
"365","51650","VA","Hampton city",1,14.9,8.53507523,10.6,11.435429345,30,"high","high"
"366","51660","VA","Harrisonburg city",1,16.1,6.37701472,12.7,11.253930263,16.66666667,"high","normal"
"367","51670","VA","Hopewell city",1,18,10.73285088,15.8,27.688749217,NA,"high","high"
"368","51678","VA","Lexington city",1,15.9,6.97901415,16.5,31.216650535,NA,"high","normal"
"369","51680","VA","Lynchburg city",1,15.7,7.24698042,13.1,15.314911256,29.16666667,"high","high"
"370","51683","VA","Manassas city",1,12.8,6.48404353,5.5,8.6578243661,37.5,"low","normal"
"371","51685","VA","Manassas Park city",1,12.5,6.83328061,5,NA,NA,"low","normal"
"372","51690","VA","Martinsville city",1,17,10.91710758,15,18.316159527,25,"high","high"
"373","51700","VA","Newport News city",1,14.8,8.67859332,11.5,13.454213491,38.20224719,"high","high"
"374","51710","VA","Norfolk city",1,15.2,8.7198748,12.5,12.327050438,29.41176471,"high","high"
"375","51720","VA","Norton city",1,17.7,7.46987952,19.8,NA,NA,"high","high"
"376","51730","VA","Petersburg city",1,17,13.9460584,16.1,18.661353483,28.57142857,"high","high"
"377","51735","VA","Poquoson city",1,13.1,4.17666827,7.2,19.906719218,50,"low","low"
"378","51740","VA","Portsmouth city",1,15.9,9.55907027,11.2,16.519258453,32.5,"high","high"
"379","51750","VA","Radford city",1,17.8,6.32612037,15.6,NA,25,"high","normal"
"380","51760","VA","Richmond city",1,16.1,8.82946266,13.9,11.435451875,26.31578947,"high","high"
"381","51770","VA","Roanoke city",1,16.3,7.69919063,13.4,21.897145459,28.88888889,"high","high"
"382","51775","VA","Salem city",1,14.9,5.78486307,10.1,17.704852452,20,"high","normal"
"383","51790","VA","Staunton city",1,15,6.26275823,11.6,17.303154007,50,"high","normal"
"384","51800","VA","Suffolk city",1,14,6.51685898,7.5,10.465448292,27.08333333,"high","normal"
"385","51810","VA","Virginia Beach city",1,13.2,6.22215854,7.7,13.747264674,33.33333333,"high","normal"
"386","51820","VA","Waynesboro city",1,16.1,6.52336449,13.1,30.114355908,0,"high","normal"
"387","51830","VA","Williamsburg city",1,14.2,8.23266219,12.3,18.552970004,33.33333333,"high","high"
"388","51840","VA","Winchester city",1,14.7,5.84093348,13.1,10.875270788,0,"high","normal"
