"","fipscode","state","county","county_ranked","freq_mental_distress","unemployment","food_insecurity","suicides","alcohol_impaired_driving_deaths","mental_distress_level","unemployment_level"
"172","39143","OH","Sandusky County",1,17.1,8.13129306,12.5,14.031084837,27.11864407,"high","high"
"173","39145","OH","Scioto County",1,20.8,8.67343463,19.7,16.810221908,17.85714286,"high","high"
"174","39147","OH","Seneca County",1,17.4,8.11640831,13,20.146177885,33.33333333,"high","high"
"175","39149","OH","Shelby County",1,17.4,7.72700935,11.4,13.82512858,34.04255319,"high","high"
"176","39151","OH","Stark County",1,17.2,8.0684663,13.4,18.60822277,33.93939394,"high","high"
"177","39153","OH","Summit County",1,16.2,8.2346241,12.7,15.881012001,39.51219512,"high","high"
"178","39155","OH","Trumbull County",1,18.3,10.39615001,15.6,18.779903911,33.33333333,"high","high"
"179","39157","OH","Tuscarawas County",1,17.9,7.55850444,13.4,12.851346676,37.09677419,"high","high"
"180","39159","OH","Union County",1,15.3,5.80114255,8.9,11.783356754,26.66666667,"high","normal"
"181","39161","OH","Van Wert County",1,17.5,7.00830464,12.1,7.8825870606,19.23076923,"high","high"
"182","39163","OH","Vinton County",1,20.8,9.1423519,17.5,21.368138257,26.66666667,"high","high"
"183","39165","OH","Warren County",1,14.2,6.37927262,8.5,11.835618182,24.70588235,"high","normal"
"184","39167","OH","Washington County",1,18,8.57704869,15.5,17.588385807,32.43243243,"high","high"
"185","39169","OH","Wayne County",1,17.7,5.87769119,12,14.839821246,28.76712329,"high","normal"
"186","39171","OH","Williams County",1,17.3,7.77524032,11.9,18.671451002,25.80645161,"high","high"
"187","39173","OH","Wood County",1,16.1,7.07188526,11.5,12.908811379,27.63157895,"high","high"
"188","39175","OH","Wyandot County",1,17.4,7.00401111,10.8,17.411020844,17.64705882,"high","high"
"189","42001","PA","Adams County",1,15.3,6.92514111,8.2,14.725635448,18.75,"high","normal"
"190","42003","PA","Allegheny County",1,14,9.02057844,10.4,14.368283522,23.10030395,"high","high"
"191","42005","PA","Armstrong County",1,16.9,9.77393406,12.1,20.602090444,43.58974359,"high","high"
"192","42007","PA","Beaver County",1,16,10.26722756,11,14.736587656,19.6969697,"high","high"
"193","42009","PA","Bedford County",1,17.2,9.12201172,11.5,22.366704471,17.07317073,"high","high"
"194","42011","PA","Berks County",1,14.7,9.47722308,9.4,14.717067245,26.66666667,"high","high"
"195","42013","PA","Blair County",1,16.9,8.70196774,13,14.385904687,18.33333333,"high","high"
"196","42015","PA","Bradford County",1,17.1,7.49848749,11.6,19.138326959,27.45098039,"high","high"
"197","42017","PA","Bucks County",1,13.1,8.29985744,7.2,12.795922801,28.40466926,"low","high"
"198","42019","PA","Butler County",1,14.3,7.86190711,8.9,13.027381287,28.57142857,"high","high"
"199","42021","PA","Cambria County",1,16.7,9.53676536,13.5,19.018121506,23.07692308,"high","high"
"200","42023","PA","Cameron County",1,17.6,12.57367387,14.2,NA,0,"high","high"
"201","42025","PA","Carbon County",1,16,9.77238912,11.7,26.544462538,20,"high","high"
"202","42027","PA","Centre County",1,14.6,5.83778266,9.3,11.358546296,26.5625,"high","normal"
"203","42029","PA","Chester County",1,12.4,6.43886382,6.3,11.601078073,28.74251497,"low","normal"
"204","42031","PA","Clarion County",1,17.1,8.23306265,13.3,20.955202337,25,"high","high"
"205","42033","PA","Clearfield County",1,16.8,9.20409196,13,21.656193959,19.11764706,"high","high"
"206","42035","PA","Clinton County",1,17.2,8.71137224,13.3,16.013331468,24.24242424,"high","high"
"207","42037","PA","Columbia County",1,16.5,8.10526948,11.7,19.010797826,20.58823529,"high","high"
"208","42039","PA","Crawford County",1,17.1,8.88273122,12.4,18.594721359,42,"high","high"
"209","42041","PA","Cumberland County",1,13.8,6.66049246,8.1,11.607320704,23.36448598,"high","normal"
"210","42043","PA","Dauphin County",1,14.5,8.83969867,9.7,13.342398216,23.61111111,"high","high"
"211","42045","PA","Delaware County",1,13.8,9.14368896,8.5,12.342381822,27.06766917,"high","high"
"212","42047","PA","Elk County",1,16,12.3027354,10.7,22.602006902,30.76923077,"high","high"
"213","42049","PA","Erie County",1,16.3,9.79731596,12.5,16.977917257,27.5862069,"high","high"
"214","42051","PA","Fayette County",1,17.8,11.70456361,14.6,17.230349545,35.77981651,"high","high"
"215","42053","PA","Forest County",1,16.4,10.61700945,14.7,NA,33.33333333,"high","high"
"216","42055","PA","Franklin County",1,15.9,7.61297678,9.8,13.256461552,19.19191919,"high","high"
"217","42057","PA","Fulton County",1,17.1,11.54345006,11.3,15.012444854,10,"high","high"
"218","42059","PA","Greene County",1,16.7,9.73656217,12.9,17.190499563,42.5,"high","high"
"219","42061","PA","Huntingdon County",1,16.3,10.43869858,12.2,21.020674879,26.92307692,"high","high"
"220","42063","PA","Indiana County",1,17.1,9.10104604,12.5,14.256913578,32.30769231,"high","high"
"221","42065","PA","Jefferson County",1,17.4,8.79038692,12.9,15.285971952,3.22580645,"high","high"
"222","42067","PA","Juniata County",1,17.2,7.16157205,10.7,14.570274068,46.66666667,"high","high"
"223","42069","PA","Lackawanna County",1,15.4,9.59434471,12.7,16.761850323,23.52941176,"high","high"
"224","42071","PA","Lancaster County",1,14.9,7.4956697,9,11.004557703,21.17117117,"high","high"
"225","42073","PA","Lawrence County",1,16.7,10.32014317,12.7,19.703131666,18.18181818,"high","high"
"226","42075","PA","Lebanon County",1,15.4,7.94699218,9.8,13.949609603,15.15151515,"high","high"
"227","42077","PA","Lehigh County",1,14.4,9.565908,10,13.583117199,25.71428571,"high","high"
"228","42079","PA","Luzerne County",1,15.3,10.86702189,12.5,18.278379984,23.28767123,"high","high"
"229","42081","PA","Lycoming County",1,16.3,8.79158241,12.1,17.496913891,30.35714286,"high","high"
"230","42083","PA","Mc Kean County",1,16.8,9.88037997,13.7,13.804351218,33.33333333,"high","high"
"231","42085","PA","Mercer County",1,16.3,9.67990343,12.6,17.651164137,30.76923077,"high","high"
"232","42087","PA","Mifflin County",1,18,8.3561903,12.4,18.477210189,26.66666667,"high","high"
"233","42089","PA","Monroe County",1,14.5,11.53761089,9.4,16.363889281,29.16666667,"high","high"
"234","42091","PA","Montgomery County",1,13,7.61498207,6.9,12.583797958,20.83333333,"low","high"
"235","42093","PA","Montour County",1,15.3,6.12628552,10.5,19.678164796,6.25,"high","normal"
"236","42095","PA","Northampton County",1,13.9,8.959403,8.6,14.995905442,25.22522523,"high","high"
"237","42097","PA","Northumberland County",1,16.9,9.37263258,12.7,13.414656593,22.80701754,"high","high"
"238","42099","PA","Perry County",1,16.7,6.75149204,9.6,19.37075347,42.85714286,"high","normal"
"239","42101","PA","Philadelphia County",1,16.2,12.36694303,14.4,10.090034553,17.65765766,"high","high"
"240","42103","PA","Pike County",1,14.4,10.61886367,9.9,16.878058588,31.11111111,"high","high"
"241","42105","PA","Potter County",1,17.6,9.31106472,13.4,21.584800651,35.71428571,"high","high"
"242","42107","PA","Schuylkill County",1,16.5,9.23498011,12,22.349233033,24.75247525,"high","high"
"243","42109","PA","Snyder County",1,16.6,7.64866677,10.9,10.613830196,29.16666667,"high","high"
"244","42111","PA","Somerset County",1,16.9,9.47307186,11.9,15.426376471,33.89830508,"high","high"
"245","42113","PA","Sullivan County",1,16.6,8.50981902,12.1,NA,0,"high","high"
"246","42115","PA","Susquehanna County",1,16.6,7.33791848,11.4,19.89465332,41.17647059,"high","high"
"247","42117","PA","Tioga County",1,16.9,9.04359832,12.7,19.040291948,19.04761905,"high","high"
"248","42119","PA","Union County",1,14.9,6.75675676,10.1,9.6136786165,37.5,"high","normal"
"249","42121","PA","Venango County",1,17.1,8.92638454,12.8,21.633293456,26.82926829,"high","high"
"250","42123","PA","Warren County",1,16.6,8.06192415,11.7,14.450658821,36.66666667,"high","high"
"251","42125","PA","Washington County",1,15.1,9.3929907,10.1,16.999613127,28.24427481,"high","high"
"252","42127","PA","Wayne County",1,15.7,9.17070081,11.2,26.643764913,29.54545455,"high","high"
"253","42129","PA","Westmoreland County",1,15.2,9.09728785,10.4,16.743251419,33.33333333,"high","high"
"254","42131","PA","Wyoming County",1,16.1,8.37483024,10.6,21.604288654,31.57894737,"high","high"
"255","42133","PA","York County",1,15.5,8.00946687,9,16.61636635,30.16759777,"high","high"
"256","51001","VA","Accomack County",1,16.5,6.48517319,11.8,12.253459158,33.33333333,"high","normal"
"257","51003","VA","Albemarle County",1,12.5,5.38050686,8.6,12.088753462,26.5625,"low","normal"
"258","51005","VA","Alleghany County",1,17.4,6.51026393,14.6,17.960042879,40,"high","normal"
"259","51007","VA","Amelia County",1,15.8,5.75620767,8.7,20.229452106,50,"high","normal"
"260","51009","VA","Amherst County",1,16.2,5.6005444,10.6,19.118535829,27.27272727,"high","normal"
"261","51011","VA","Appomattox County",1,16.1,5.81890434,10.7,20.560940563,28.57142857,"high","normal"
"262","51013","VA","Arlington County",1,9.8,4.48305533,7.8,7.0320441584,30,"low","low"
"263","51015","VA","Augusta County",1,15.4,4.59428818,8.9,19.499097337,31.16883117,"high","low"
"264","51017","VA","Bath County",1,17.7,9.91266376,10.2,NA,40,"high","high"
"265","51019","VA","Bedford County",1,14.5,5.13289345,9.1,18.415603225,34.7826087,"high","normal"
"266","51021","VA","Bland County",1,15.7,5.62077552,10.8,NA,0,"high","normal"
"267","51023","VA","Botetourt County",1,14.5,4.53325554,7.7,17.278921582,23.07692308,"high","low"
"268","51025","VA","Brunswick County",1,16.6,7.96504789,12.6,12.444258222,25.92592593,"high","high"
"269","51027","VA","Buchanan County",1,20.5,9.51937984,20.3,20.43010031,21.05263158,"high","high"
"270","51029","VA","Buckingham County",1,16.9,7.39274972,11.3,10.941630463,46.66666667,"high","high"
"271","51031","VA","Campbell County",1,15.8,5.90426158,10.2,15.015163933,38.29787234,"high","normal"
"272","51033","VA","Caroline County",1,15.1,6.72487337,7.3,17.776107305,28.88888889,"high","normal"
"273","51035","VA","Carroll County",1,17,8.17304037,12.6,20.707863834,20.68965517,"high","high"
"274","51036","VA","Charles City County",1,16.5,6.50969529,8.9,NA,50,"high","normal"
"275","51037","VA","Charlotte County",1,18.3,5.60582219,15.3,23.724238659,46.66666667,"high","normal"
"276","51041","VA","Chesterfield County",1,13.2,5.89562946,6.3,15.00700575,30.06993007,"high","normal"
"277","51043","VA","Clarke County",1,14.1,4.54787943,8.1,19.899525279,20,"high","low"
"278","51045","VA","Craig County",1,14.8,5.0743657,10.6,NA,50,"high","normal"
"279","51047","VA","Culpeper County",1,14.5,4.9528783,7.7,15.685867364,36.84210526,"high","low"
"280","51049","VA","Cumberland County",1,16.7,6.12825564,11.3,20.025947044,40,"high","normal"
"281","51051","VA","Dickenson County",1,19.6,7.96460177,19.5,32.802466053,44.44444444,"high","high"
"282","51053","VA","Dinwiddie County",1,15.7,6.40672669,9.3,16.501060442,31.81818182,"high","normal"
"283","51057","VA","Essex County",1,17,6.9606414,11.2,NA,30,"high","normal"
"284","51059","VA","Fairfax County",1,10.1,5.81081705,5.8,8.6123381725,28.57142857,"low","normal"
"285","51061","VA","Fauquier County",1,13.2,4.67510594,6.4,14.637355169,23.07692308,"high","low"
"286","51063","VA","Floyd County",1,15.9,5.078222,10,18.963610467,57.14285714,"high","normal"
"287","51065","VA","Fluvanna County",1,13.8,5.26124025,6.5,14.860537444,20,"high","normal"
"288","51067","VA","Franklin County",1,16.2,5.47238792,10.8,17.948022241,26.2295082,"high","normal"
"289","51069","VA","Frederick County",1,14,4.64676371,7.5,16.801702372,35.71428571,"high","low"
"290","51071","VA","Giles County",1,16.2,6.25403799,10.7,24.740864296,21.42857143,"high","normal"
"291","51073","VA","Gloucester County",1,14.8,5.42885345,9.5,16.91807469,25,"high","normal"
"292","51075","VA","Goochland County",1,13.2,4.86447675,6.3,19.426944893,20.83333333,"high","low"
"293","51077","VA","Grayson County",1,17.7,5.67620928,14.5,19.71475269,77.77777778,"high","normal"
"294","51079","VA","Greene County",1,15.1,5.23632085,8,15.484229399,20,"high","normal"
"295","51081","VA","Greensville County",1,16,6.77046473,9.1,NA,33.33333333,"high","normal"
"296","51083","VA","Halifax County",1,16.8,7.03083817,11,14.206277951,36.58536585,"high","high"
"297","51085","VA","Hanover County",1,13.1,4.82963372,6.3,16.379541448,31.94444444,"low","low"
